timestamp,left_iris_x,left_iris_y,right_iris_x,right_iris_y,gaze_x,gaze_y,target_x,target_y,target_x_ratio,target_y_ratio,screen_width,screen_height
1755722888130,0.44842,0.46270,0.57116,0.46695,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888160,0.44846,0.46275,0.57120,0.46728,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888189,0.44846,0.46307,0.57158,0.46679,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888217,0.44832,0.46275,0.57162,0.46703,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888246,0.44860,0.46316,0.57157,0.46687,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888277,0.44866,0.46217,0.57123,0.46704,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888305,0.44846,0.46152,0.57174,0.46654,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888331,0.44852,0.46203,0.57212,0.46647,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888361,0.44842,0.46266,0.57163,0.46701,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888392,0.44831,0.46285,0.57158,0.46697,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888422,0.44845,0.46258,0.57162,0.46704,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888449,0.44875,0.46403,0.57181,0.46877,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888478,0.44907,0.46405,0.57148,0.46836,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888508,0.44860,0.46283,0.57202,0.46793,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888537,0.44826,0.46298,0.57216,0.46788,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888567,0.44891,0.46182,0.57123,0.46692,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888624,0.44887,0.46241,0.57134,0.46708,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888654,0.44881,0.46317,0.57186,0.46794,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888683,0.44906,0.46352,0.57167,0.46757,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888710,0.44890,0.46346,0.57176,0.46764,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888737,0.44867,0.46326,0.57212,0.46751,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888767,0.44870,0.46306,0.57213,0.46758,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888801,0.44923,0.46407,0.57199,0.46828,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888829,0.44886,0.46345,0.57242,0.46820,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888862,0.44949,0.46393,0.57183,0.46918,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888891,0.44949,0.46399,0.57174,0.46939,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888924,0.44908,0.46255,0.57215,0.46770,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888953,0.44911,0.46291,0.57225,0.46773,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722888984,0.44870,0.46325,0.57224,0.46836,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722889013,0.44912,0.46327,0.57196,0.46792,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722889047,0.44915,0.46582,0.57204,0.46973,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722889076,0.44907,0.46475,0.57172,0.47009,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722889108,0.44919,0.46355,0.57177,0.46838,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722889141,0.44947,0.46433,0.57166,0.46871,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722889170,0.44944,0.46427,0.57161,0.46881,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722889197,0.44925,0.46402,0.57167,0.46885,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722889227,0.44916,0.46377,0.57180,0.46880,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722889253,0.44886,0.46398,0.57217,0.46869,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722889282,0.44899,0.46423,0.57205,0.46845,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722889311,0.44928,0.46462,0.57161,0.46861,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722889340,0.44922,0.46349,0.57217,0.46861,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722889368,0.44922,0.46344,0.57187,0.46901,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722889394,0.44903,0.46369,0.57185,0.46915,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722889425,0.44933,0.46326,0.57186,0.46851,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722889452,0.44917,0.46418,0.57201,0.46882,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722889480,0.44920,0.46390,0.57207,0.46855,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
1755722889510,0.44924,0.46434,0.57221,0.46809,1129,38,1129.4767813185338,38.09421131123128,0.55150,0.04114,2048,926
